Number,sample_identifier,oxygen,deuterium,Type,Location,High_Frequency,Event,Date,Time,Date_Time,Times
,"US22 7/8/18 F,UA",-5.17,-27.1,Upstream,,,,,,,
,"US UP 7/8/18 F,_",-5.11,-27.8,Upstream,,,,,,,
,"US23 7/8/18 F,UA",-5.01,-26,Upstream,,,,,,,
,"DS23 7/8/18 F,UA",-5.33,-24.7,Upstream,,,,,,,
,"US24 7/8/18 F,UA",-4.94,-26.3,Upstream,,,,,,,
,"DS24 7/8/18 F,UA",-4.86,-25,Stream,,,,,,,
,"Rain 7/4/8 UF,UA",-3.21,-12.2,Rain,,,,,,,
,"DS25 F,_",-4.76,-24.6,Stream,,,,,,,
,"US25 7/8/18 F,_",-4.91,-23.9,Upstream,,,,,,,
,"US16 7/7/18 F,UA",-4.89,-24.1,Upstream,,,,,,,
,"US17 7/8/18 F,UA",-4.83,-23.6,Upstream,,,,,,,
